mint,symbol,signature,timestamp,time_utc,slot,type,source,fee,fee_payer,description,trade_side,token_amount,sol_amount,price_sol,token_input_amount,token_output_amount,native_input_sol,native_output_sol,token_transfer_count,native_transfer_count,window_start,window_end,window_basis,is_closed_position
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,,36VEUQLsCtPZ73AtAuNUswFD5ntEctXDkiB9ZmbYj7VBvYK3JBjaJzBSoPi16k2Fqr6gywkpSUiJehr552X6WKCb,1777608158,2026-05-01 04:02:38 UTC,416798972,CREATE,PUMP_FUN,1010000,BtSEbACppVjwRRobKfUyJYgzjyqBhK1neSMw9FXRdgCa,,,153285714.285714,5.122882079999999,3.3420479552656164e-08,,,,,1,11,1777607881,1777608493,open_to_close_plus_buffer,True
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,,3EASTJrmK7cYuJx5WqJReomkikY9vufPtwmf2yKwkAdK2wSDteqTDZBm6vUTajJ1p4rvpnu7dbsCZfHE4Wrc36in,1777608158,2026-05-01 04:02:38 UTC,416798972,SWAP,PUMP_FUN,57505011,EgQX9R3Qph1dPHE1Ysou1auSYqRGomCNmLDC28Yg77aq,,,71782578.353368,3.0011,4.1808194534700634e-08,,,,,1,5,1777607881,1777608493,open_to_close_plus_buffer,True
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,,3gxejpee8TfWFtp4T3bQ6Q64ApnrYszU4wd41Mkn85GK1Jc4J4gN8HcRusYogeqFnLQNJdDZJJcTQrD1hmtM2ENm,1777608158,2026-05-01 04:02:38 UTC,416798972,SWAP,PUMP_FUN,105000,BnHZ99JebZEw17DXQnrnZeF3VqEBLigCNxxmv8GcobKC,,,7588615.756002,0.365586715,4.8175678773938395e-08,,,,,1,5,1777607881,1777608493,open_to_close_plus_buffer,True
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,,4j9RfCAicGKefpnPNDi1H2dkPPmkmDtPDJZF8ydmZpfa5joVWUS3R2R7c9M5g8Aa4mY1bbSKLffaYXjEiXLUZ54x,1777608158,2026-05-01 04:02:38 UTC,416798972,SWAP,PUMP_FUN,10004985,7GtECdr5w8w68EnoYB6pn7t5AFYuMZo1YkbtyEg82AK9,,,21500645.469887,1.0028,4.6640460231972295e-08,,,,,1,5,1777607881,1777608493,open_to_close_plus_buffer,True
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,,4tUkfuQaxvnhoG8ZvamwbvPmaHdXPgzJBS3ZPiCqSNpqp13wM1c9y7N4rKJyjykE1HkbbP6dBNFxKHfuvQNXGqtU,1777608158,2026-05-01 04:02:38 UTC,416798972,SWAP,PUMP_FUN,25250,EgQX9R3Qph1dPHE1Ysou1auSYqRGomCNmLDC28Yg77aq,,,35891289.17665,0.00102,2.841915192791646e-11,,,,,1,1,1777607881,1777608493,open_to_close_plus_buffer,True
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,,szyth6Jo15ve1jbGdYSridc5TTYzQUduTasiKJSNfJnjEoMbaC5DwejswirJPUrustR4PY5Gx3bRw2a13GLJCbA,1777608158,2026-05-01 04:02:38 UTC,416798973,SWAP,PUMP_FUN,5001,67LwNGrukVFFcA1XZQ9U8ddZGCBuPvPHgMxw81AeRtQ7,,,1.073,5.100000000000001e-08,4.753028890959926e-08,,,,,1,3,1777607881,1777608493,open_to_close_plus_buffer,True
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,,uBisQYngbtndhgPdNGAeKLMRBwcxTq7ty3myPZC7Tq4aMZPHTtWXS6R63Qakikdefx4XMYvr9sXM3iFRXq6ma8T,1777608158,2026-05-01 04:02:38 UTC,416798972,SWAP,PUMP_FUN,1461875,DQApNebkK5wCmy92T5c4Z9NePWjP7dC4avpLMzuxadxR,,,6522797.513677,0.29424458800000003,4.511018276790412e-08,,,,,1,5,1777607881,1777608493,open_to_close_plus_buffer,True
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,,2wgVHCgs9FCPMD488QhzVstZxpEwrRNyu8DS3aSjpvenJ4pVSPCSE8y3DJgY8Ugzz3sQ2DmbXFDDnaUAk78U7W5A,1777608159,2026-05-01 04:02:39 UTC,416798974,SWAP,PUMP_FUN,15000,7GtECdr5w8w68EnoYB6pn7t5AFYuMZo1YkbtyEg82AK9,,,21500645.469887,0.001,4.6510231583538396e-11,,,,,1,1,1777607881,1777608493,open_to_close_plus_buffer,True
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,,3CKHFgD3GRVkrozfN9LwLxbG1eDsXjQ2psNSkGSbVSUfBdQF71q1LSzaaLEL5jiXkc3jwQoWQcw1NhLWFs61RoEy,1777608160,2026-05-01 04:02:40 UTC,416798977,SWAP,PUMP_FUN,8600,BnHZ99JebZEw17DXQnrnZeF3VqEBLigCNxxmv8GcobKC,,,7588615.756,,,,,,,1,0,1777607881,1777608493,open_to_close_plus_buffer,True
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,,25RYcC6g4nfDxgx2xxockhj2SsVNwLynT97xP2be5SpSvkGDHNWS9dK3BfyxKxtqp1xJQ6S5E6aGdDBxDAFp77Ff,1777608162,2026-05-01 04:02:42 UTC,416798981,SWAP,PUMP_FUN,15000,3KhRurBXXm61BS2tFcwUXgYrWyq45nAmU9brgUuoBmFS,,,17599281.300442,0.7707676680000001,4.3795405894253336e-08,,,,,1,8,1777607881,1777608493,open_to_close_plus_buffer,True
