mint,symbol,signature,timestamp,time_utc,slot,type,source,fee,fee_payer,description,trade_side,token_amount,sol_amount,price_sol,token_input_amount,token_output_amount,native_input_sol,native_output_sol,token_transfer_count,native_transfer_count,window_start,window_end,window_basis,is_closed_position
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,,3ZoRHdAXDVhyNiRzAdv14KedYBiEjNnsLSZJwb2Ce74SjTHMqa4rUQ9y117YkuUKAw41skor2tSQg2WzezmECQuz,1777610896,2026-05-01 04:48:16 UTC,416805914,SWAP,PUMP_FUN,125000,D89N1yU822zdycLNttRJCVoHcraiedoVNg7P3gjqj8Xo,,,25328913.31606,1.013074081,3.9996744761949674e-08,,,,,1,7,1777610745,1777611360,open_to_close_plus_buffer,True
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,,4C4FMEucU1cJkenEZRfmqFnV795bJtCxsBrDhBd9XswtMww65C2z5tJqKfa8wadGD8qd8RjzSKJgPfpwPqUCcQ4U,1777610896,2026-05-01 04:48:16 UTC,416805914,SWAP,PUMP_FUN,125000,12oXoKzpwvcUDkqFxr2wtCiE5kp84zYqomXFzSHzm3zx,,,26802595.543969,1.013074081,3.779761103129273e-08,,,,,1,7,1777610745,1777611360,open_to_close_plus_buffer,True
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,,4DG9F5i5yD5YJ6RjoXT3nfm8KgHm6vY7QCE41Y5kkUJEDW1tcKWVusyjvenY41NeRAGRCduV47VPayaS4Ao17F3f,1777610896,2026-05-01 04:48:16 UTC,416805914,SWAP,PUMP_FUN,125000,5a7kTrbRLgnAxUtkHwYtvYC8tfvGBJKG41XuVq3LY7RW,,,28408743.589989,1.013074081,3.566064362511966e-08,,,,,1,7,1777610745,1777611360,open_to_close_plus_buffer,True
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,,4pewD9DJNne9Vx82UxghQVEbKJtwr9tKahfrSjVKsfcFDGagk5PrypdLiVjwQ2rqk5osbb63jLqcAngEcDBtFQpE,1777610896,2026-05-01 04:48:16 UTC,416805914,CREATE,PUMP_FUN,310000,H4Dh86x6XbSizaKzpQ1p696UfwPddmhJEywWG4emE6e7,,,96449438.173719,3.0404168809999996,3.152342759657948e-08,,,,,1,11,1777610745,1777611360,open_to_close_plus_buffer,True
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,,2Uz13FAh4J9vsrxYJj9zoAzz8zD661CLfCWAutwZX8Dpz756Yt1MEi6t9XX2x8uWv5mpazmRFCWQn3PDCyJimgJW,1777610897,2026-05-01 04:48:17 UTC,416805916,SWAP,PUMP_FUN,3155000,AqcAzsJKfEyZG235GKApeHconxfs7DKtw8CeMcZXNv41,,,33355412.137996,1.912736696,5.7344118192476265e-08,,,,,1,7,1777610745,1777611360,open_to_close_plus_buffer,True
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,,2jhKPEEadrs8pDK9nUgzLdVhPEweouhiRvnego5FnEDvkifPW5Wd1b4z8KA2tGP2bDhFtYRCrM75qxJXu8uwpBtS,1777610897,2026-05-01 04:48:17 UTC,416805916,SWAP,PUMP_FUN,4005001,FjJiYpUcEYZ3XHWQD2Q9atydmuFhZRQwC3wZQxfRLgAf,,,40253768.638571,2.6281918119999994,6.529057777416837e-08,,,,,1,4,1777610745,1777611360,open_to_close_plus_buffer,True
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,,3A58S5VfZyyhegp3zKMqfNaAXsdNRoGZbzMiafArisJJZYJpNWPPA1eT9J2fHPAvebfRXjMjfmDtHg6nhxfJ3588,1777610897,2026-05-01 04:48:17 UTC,416805916,SWAP,PUMP_FUN,3155000,7YL7yzQBriSb76xgWwvSEg7bLqU9TiiADTKdMEDTytdf,,,42383648.857305,2.6108050519999995,6.159934603058642e-08,,,,,1,7,1777610745,1777611360,open_to_close_plus_buffer,True
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,,4ubHD1eCsYTw7ACnoYpWb1sygCwuo2xBSxUhoEc6968S21WsHVJGRV1k59ypUMPJB1btNqjBc2Dgm2RmssiSsF7t,1777610897,2026-05-01 04:48:17 UTC,416805916,SWAP,PUMP_FUN,155000,Fkemk4DNp9ncsixH8gJqoysHu8mvG2A1TMVbGTMoYa9d,,,8805757.684524,0.5365968400000001,6.093704360535173e-08,,,,,1,4,1777610745,1777611360,open_to_close_plus_buffer,True
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,,5Xrhm7R9q8o2uv4kSoqVvkaBqsfq9RUWkQ8ozN6BT7HnLFeKuFbSKixame72XwC3ZsFhUdUML8yi4X3HfVWsYGDM,1777610897,2026-05-01 04:48:17 UTC,416805916,SWAP,PUMP_FUN,3155000,EkV7xqMZmPv74G9VD5Nb5x1sgMiVVGe3WFK9TYBLVSRM,,,51910768.567206,2.612796402,5.0332454596917726e-08,,,,,1,7,1777610745,1777611360,open_to_close_plus_buffer,True
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,,5kZqd9YAGfMUTmuwPbaAhRsGj2yGRbXPmV6np43TpjiVD5uSNHKoMoT1c3BWMygKzQ7MeLppq1gzFRdWRauprDED,1777610897,2026-05-01 04:48:17 UTC,416805916,SWAP,PUMP_FUN,142000,GjH4RT3HQcJ7DZX6qnrVxYcdNE2YWDk87roQWb7WmPLR,,,49830.833421,0.00503928,1.0112774870581067e-07,,,,,1,5,1777610745,1777611360,open_to_close_plus_buffer,True
