mint,symbol,signature,timestamp,time_utc,slot,type,source,fee,fee_payer,description,trade_side,token_amount,sol_amount,price_sol,token_input_amount,token_output_amount,native_input_sol,native_output_sol,token_transfer_count,native_transfer_count,window_start,window_end,window_basis,is_closed_position
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,2pYLJHdTKtf4ZUeNCyU8EoBofVcccAv9JR19rFHFYxjYjztLwG5yQ5bgZAgY4k31dyTrei4ujPaAv2oYyuxut9wT,1777605467,2026-05-01 03:17:47 UTC,416792159,SWAP,PUMP_FUN,205000,BnHZ99JebZEw17DXQnrnZeF3VqEBLigCNxxmv8GcobKC,,,9665136.908001,0.34574611899999996,3.5772500926891596e-08,,,,,1,4,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,3RYJptSwGn4GqTC99Hzf5h1z22x2Pb7fxCGdqyAJvqSWmR1WvVyhpoWXJE5tTr1uVvnjas1t8WM367jAnUmhEDJw,1777605467,2026-05-01 03:17:47 UTC,416792159,SWAP,PUMP_FUN,305000,9gUXaMw6evQ4Vfu4h5QehBSpsnpGDdfQRNXHy8MsmQ3r,,,30163723.863235,1.00507408,3.3320623294295324e-08,,,,,1,6,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,4T2gXodu51HpZPgLSWhgrueZDvRMckdmK26nRMfnEUkAB8rcgEeMgvvgKy71k4aDWvSXqJuGs3vaPeQCv9f8adUA,1777605467,2026-05-01 03:17:47 UTC,416792159,SWAP,PUMP_FUN,115000,6QZsiSCVmMR1k1S4SXoyFU4aaqPwaXLqarzzHbmUiVR5,,,276647.378267,0.013074080000000002,4.725900560453476e-08,,,,,1,6,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,5Bp7x32phKnbkPBqVsUC4uBk5XB5aX7MKo5UacgnFV3fvinVfE3o1a1kSuQFmcKhhZQwScVHtDFXMh5rJHjEei9N,1777605467,2026-05-01 03:17:47 UTC,416792159,SWAP,PUMP_FUN,3105000,a4iuNxFy57bBScWnTqCzHUx2D7bonEhCNt3eNveuH3Y,,,17189451.453189,0.5991200230000001,3.485393496305264e-08,,,,,1,5,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,5r3XDtWFBynYuBVs3emFiAh1DtD33oD3xL4E7TcyQWK2tG8FHsh7AWymHoVjCF91nTNmEEpGVBsMsjpgFZfvvrkF,1777605467,2026-05-01 03:17:47 UTC,416792159,CREATE,PUMP_FUN,10000,7VETNTzc2AX5BcKJEjc31MXfn5vxiRLN5XMenJWrqSLq,,,34199203.120618,1.02275096,2.990569565006631e-08,,,,,1,12,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,PWruPwxtRCELnjdF851DZsXfd4xQ64yCwmRaXWgoSdD2EJ5WuGvJkutyQWwpK7JddBjC8m2yKBX6FBvvfWWkSJ4,1777605467,2026-05-01 03:17:47 UTC,416792159,SWAP,PUMP_FUN,305000,HDZgRCsxERm8Rs6PXJBBneVkzWPKFVkaqqrc7Dp9BGN8,,,32086511.038933,1.00507408,3.132388182624366e-08,,,,,1,6,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,2GizHC3FgX4QcxoGax1mKqFC39dtZJf8mV5snBDJU52jnYtkXafAcEyxYjLhnrAWr7h7dqpg4qaPmsxMsTz9ttri,1777605469,2026-05-01 03:17:49 UTC,416792162,SWAP,PUMP_FUN,12000,a4iuNxFy57bBScWnTqCzHUx2D7bonEhCNt3eNveuH3Y,,,17189451.453189,0.000100029,5.8192083832577764e-12,,,,,1,1,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,4MqzWTzijsd3Z86yVvgszKfcP4XgyjYwLqnqUucLMJAyfUiDxJvY8XP9RJp7nSXAuLxkd1FrFG5rZfYPhBL5noug,1777605469,2026-05-01 03:17:49 UTC,416792164,SWAP,PUMP_FUN,5000,6QZsiSCVmMR1k1S4SXoyFU4aaqPwaXLqarzzHbmUiVR5,,,276647.378267,0.0003,1.0844129515316125e-09,,,,,1,1,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,5oWCReLmhGBWBZ6U13P6nEJtKvPNyY5NDcuH9827AShCcHU5gnVs1JKRfNBwLmMz4rRYonRuPQBRTJmSmq1iwo7p,1777605469,2026-05-01 03:17:49 UTC,416792164,SWAP,PUMP_FUN,8600,BnHZ99JebZEw17DXQnrnZeF3VqEBLigCNxxmv8GcobKC,,,9665136.908,,,,,,,1,0,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,63xL4vRFEAiQwDreff4NhgF2akMse26fEvUymfM1H3CdM23PYR4PrmLvSzqEmp2gjjHgb7s7JDQ922s28X1nFgjA,1777605469,2026-05-01 03:17:49 UTC,416792163,SWAP,PUMP_FUN,105000,7VETNTzc2AX5BcKJEjc31MXfn5vxiRLN5XMenJWrqSLq,,,34199203.120618,0.003,8.772134220260125e-11,,,,,1,1,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,4nWomMw2UimsKT84yPmSkgGgXqzCv1PVMfgwMbAR5QEj2fktGHyBxM3P65uKHmpFm5Garpmehsh4dgwJuvmovJSC,1777605471,2026-05-01 03:17:51 UTC,416792167,SWAP,PUMP_FUN,15000,DeXEW6knasVK8HNNRB6PgfqoENzayvRcDKpSY5hYeN16,,,3093678.392993,0.10208407999999998,3.2997638096841104e-08,,,,,1,7,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,2kxAcBvnBEvV2jESiCxdkCzYU5m9rCSp8m2AsN1kS2SsXvW34qTFnFcaw8UD3s1HD7nQR5NKV3N1Kfi7HEQkRuRu,1777605474,2026-05-01 03:17:54 UTC,416792176,SWAP,PUMP_FUN,15000,DeXEW6knasVK8HNNRB6PgfqoENzayvRcDKpSY5hYeN16,,,3093678.392993,0.000975555,3.1533820781422363e-10,,,,,1,2,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,2PFNQFg6PVJzxAwLYRnv8R2yBMjY38oFLXtRTHSMpvDQoMSiGcnPQqw9xfBP8fCA9RpniScoWG4uyXPnb7g6kwM6,1777605519,2026-05-01 03:18:39 UTC,416792292,SWAP,PUMP_FUN,55000,Dipc7vePAFpDBaEWoRUSSHZMz6gr72VPePsu2ssYVG5p,,,30249023.309855,1.0088169960000002,3.3350398975405335e-08,,,,,1,8,1777605219,1777605827,open_to_close_plus_buffer,True
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,2a6L4uh5XaUVWmpP5fAf9FDF2FZVbpfUeh1rzq7Y6TD46NPRBirKHwvsWArUUwg5YrTvE3w7i1QFQjNDhH1tPD8e,1777605519,2026-05-01 03:18:39 UTC,416792292,SWAP,PUMP_FUN,505000,8yspHpQXE2GWLvaL2adccHSXym5x2RWpizkohxFMqj8t,,,13093400.664809,0.50207408,3.834558285147566e-08,,,,,1,5,1777605219,1777605827,open_to_close_plus_buffer,True
