mint,symbol,signature,timestamp,time_utc,slot,type,source,fee,fee_payer,description,trade_side,token_amount,sol_amount,price_sol,token_input_amount,token_output_amount,native_input_sol,native_output_sol,token_transfer_count,native_transfer_count,window_start,window_end,window_basis,is_closed_position
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,,2LapLAJh2fMytr2B4fvYd4JwHTELvyEDbBYAXA1zPLkaZP22jzuJZfUYFZUtpaZU5SKRZcEh34CWv1MBQbyLi8sg,1777610181,2026-05-01 04:36:21 UTC,416804102,SWAP,PUMP_FUN,5334,A95DWjT57Mm6mWQNsjhBiu1Rxf8LAM26zCEqH7wVS6F4,,,32907443.139677,1.0020740799999999,3.045128956834036e-08,,,,,1,5,1777609898,1777610535,open_to_close_plus_buffer,True
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,,2wYkfaA9WTtrACPPuzjK6PC1Gj6CumBeoeeLN2qYhnekZ1Kpjor5qgPYVG79t3fyk9hthoWPo6J67ESqVLpCGnGd,1777610181,2026-05-01 04:36:21 UTC,416804103,SWAP,PUMP_FUN,25000,91EmVRUks22PoKs1ebGhhden8h2MiFix7m8ebKd7iNJv,,,9114004.572613,0.290553604,3.187990544497805e-08,,,,,1,5,1777609898,1777610535,open_to_close_plus_buffer,True
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,,4gA7LPaQ7Ydt3tbWxsTfkPRYErMWf8SVkDvxaygmUL3YAfkxn1tWnfnvbrM3Fg1uhdHKSyx8hE7dznp7uWvDnmMc,1777610181,2026-05-01 04:36:21 UTC,416804103,SWAP,PUMP_FUN,25000,8uCRAKdq1JD4AohzDuB8AaWz7DYAL2bfLtfu2BqAvSca,,,9114004.572613,0.29580633700000003,3.245624189051639e-08,,,,,1,5,1777609898,1777610535,open_to_close_plus_buffer,True
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,,4ieEkfXcLfh2owgRgG2YBe5PVieZRjbgSurHgjBTZkGPSYPSi6A2QGPCpz5vRTuiL4r8DwkDsrHPqEEnSbsZSUvM,1777610181,2026-05-01 04:36:21 UTC,416804102,CREATE,PUMP_FUN,10000,BiCQ7k6afuhQ9qjta32pxwaEWTTKYnF7unBVL3wg8aB8,,,20784503.577184,0.6228136000000001,2.996528628586964e-08,,,,,1,12,1777609898,1777610535,open_to_close_plus_buffer,True
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,,43QbNhKC7qVqy34cJbzAAsyJ6Aoc2aJnenWRktgiQta543pccxE9xAgSnSmYUFRPSCDLzZqyAZ1xGMYjTCyZuFF7,1777610182,2026-05-01 04:36:22 UTC,416804104,SWAP,PUMP_FUN,5334,A95DWjT57Mm6mWQNsjhBiu1Rxf8LAM26zCEqH7wVS6F4,,,32907443.139677,,,,,,,1,0,1777609898,1777610535,open_to_close_plus_buffer,True
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,,47Akt383bBDkey41zXnWiyuvPhHcQTPw6R84LUrE2dTsHN5bRX5qcVwGMLZftBb99pzgEXsNjn3saeuVHNAUntnK,1777610186,2026-05-01 04:36:26 UTC,416804114,SWAP,PUMP_FUN,5005000,8mSRM89Gn1Y3RwdVkfYn3TAwwCQSYYRS632vPWe4TSUz,,,31794403.069651,1.01707408,3.1989091846509205e-08,,,,,1,7,1777609898,1777610535,open_to_close_plus_buffer,True
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,,2cq6TFboAsMoMxnv9Si5xdMuZ41EvJfKxzez4WTQfUrREcHUzh2hiqrHfhKtgHKc8VH6hcwyC8Q8BqrP4XYLuDfG,1777610187,2026-05-01 04:36:27 UTC,416804117,SWAP,PUMP_FUN,25000,91EmVRUks22PoKs1ebGhhden8h2MiFix7m8ebKd7iNJv,,,9114004.572613,,,,,,,1,0,1777609898,1777610535,open_to_close_plus_buffer,True
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,,5RhGYoz7uwS6txiKZPzu5wTQ1Tr97XU7nnDp93BkyhjNvGeQDDejY91Ej3srvskw6qdwYj4f6DVQj1MJLYDmUF6v,1777610187,2026-05-01 04:36:27 UTC,416804117,SWAP,PUMP_FUN,25000,8uCRAKdq1JD4AohzDuB8AaWz7DYAL2bfLtfu2BqAvSca,,,9114004.572613,,,,,,,1,0,1777609898,1777610535,open_to_close_plus_buffer,True
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,,4pvTLUdD77g9RjMomhwnVnghZcRsQp9LuD2oPeg5qMcx2dNc7Bw2th8La8qMXGDxgSSY6w8raRbhyaoy7nqrPUeM,1777610195,2026-05-01 04:36:35 UTC,416804137,SWAP,PUMP_FUN,2517166,8mSRM89Gn1Y3RwdVkfYn3TAwwCQSYYRS632vPWe4TSUz,,,31794403.069651,0.010412925,3.275081144687237e-10,,,,,1,2,1777609898,1777610535,open_to_close_plus_buffer,True
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,,3DrcyWswa8UDz8cVk3unRxv2mgvmSq3bt2DBD8rW2YcKyFFhUDgfVjx3HT81gyLwA8ENxMRfY5FREHLkKmBWrznV,1777610196,2026-05-01 04:36:36 UTC,416804139,SWAP,PUMP_FUN,2517166,Vt4gvW5uwQjFJQXQc4w5vpVvcY5nq7eofhqQzENaVun,,,17376518.164061,0.5080740800000001,2.923911886161549e-08,,,,,1,7,1777609898,1777610535,open_to_close_plus_buffer,True
