mint,symbol,signature,timestamp,time_utc,slot,type,source,fee,fee_payer,description,trade_side,token_amount,sol_amount,price_sol,token_input_amount,token_output_amount,native_input_sol,native_output_sol,token_transfer_count,native_transfer_count,window_start,window_end,window_basis,is_closed_position
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,54bjLfwjARCivpgya7nbaBQ4AVzAeFtkfNJPd4QrTGLpYDhHUbH2hrQHBh23EvPhFCbE6L9ESrd7phNuj4fTHqRr,1777616202,2026-05-01 06:16:42 UTC,416819350,CREATE,PUMP_FUN,64897,BpvHy8hnMrV5MXLvD9mT9NmYPUh4AjKNZmBL4uXkFKCn,,,45659574.424368,1.361289119,2.9813881013168083e-08,,,,,1,10,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,2RPz8cPzDWr5qMCjw6pZocVAoFjwC1jhnyUS4G3pM91deKWdLRDpEZPEkYbzLcsVbDsTjASrWtNNrZvYSFhD8qBq,1777616203,2026-05-01 06:16:43 UTC,416819352,SWAP,PUMP_FUN,5001,SEZacrDBHstVUksFQ39uczBBmuBMKmR4iqUE2v6wBHs,,,418548.492497,0.015004423999999999,3.5848711126602715e-08,,,,,1,5,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,277EbKccKii1bZWZGGW9hBX7bEkMbRWUSX7b1yjaejasfuwfvux2CyQVWNzv5YZJo4BxqvLE3csSftYX4fZw1b4n,1777616205,2026-05-01 06:16:45 UTC,416819358,SWAP,PUMP_FUN,5001,SEZacrDBHstVUksFQ39uczBBmuBMKmR4iqUE2v6wBHs,,,418548.492497,,,,,,,1,0,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,2QN5LK4v6xt3KM5NvaeBWqePCui46fYAtCyoRnwDt4RrnGFvVEKPbJSjS9ngXnXYQ2q9f9g8WUzMd8CSRuYKxgLk,1777616208,2026-05-01 06:16:48 UTC,416819366,SWAP,PUMP_FUN,1040206,2BGqpNYVUrgKCNMRw3UnyBxV5SKrBTbdYpCrGFmQCxVN,,,26941793.850303,0.951457338,3.531529278586991e-08,,,,,1,5,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,4FC1mYU9tfE5yZbRHJ7DkFZ7ce1wyPSd1aasq23BdxvWBLccxcPewHwPEahGhXzg2uMocWNHS5zeiYNvBvVU4Cew,1777616208,2026-05-01 06:16:48 UTC,416819366,SWAP,PUMP_FUN,445000,21nxKfCFb9Az5eVBxrdC98Cd7PvcWzsaLK4aDC4SHWkX,,,24030032.093525,0.8240441669999999,3.4292262440300376e-08,,,,,1,7,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,54Hj17uVBXn4DGxmLhvMCidNNAP9xFfeiz9h8vs942QznmJeURdSWKUEMswa1aJWJitw7JvA6Yz1ZTwC3xprdCxr,1777616208,2026-05-01 06:16:48 UTC,416819366,SWAP,PUMP_FUN,445000,HSN4YqwvXPGxvusdDv6dFkuDFCqjQzvmxTzsbXWP6wE3,,,28450475.560766,0.924828948,3.250662527677973e-08,,,,,1,8,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,PdubuqQtnt4j89kpA9v4D2rhj88tSmk1pityNRfyqdBpBVTsGy5TuUiwJDSanmEofmgAq7KQjLe2VWEDtgaTZZ3,1777616209,2026-05-01 06:16:49 UTC,416819367,SWAP,PUMP_FUN,11376,97jv9pjCf5D7VUZEyj6XnXBC5JF23Vsagc3bvSF6GRmL,,,7689501.140102,0.28338056100000003,3.685291878326466e-08,,,,,1,6,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,4RfaDGRpxzmLsPHk29N7ceoU4ZVr3VS7QTsXyX4RybDKJkq1YYzvd86DeyzVGo3KDoetjAjUwsoDAbk3aX7HJEyZ,1777616213,2026-05-01 06:16:53 UTC,416819377,SWAP,PUMP_FUN,105000,HZjatkzh8jbzqNH3PMEbBhvLrQcxmuex91tjxqaKwJak,,,2685.229608,0.0022740799999999995,8.468847480397659e-07,,,,,1,7,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,pPTHQofj7uDLeuqQZEP8zN5niQaQ2yPFwYXVBgBgMNKfrZFzHhRD6vSKqDkE8gnvDUqE8JWneBUXMfERSH4BNmP,1777616213,2026-05-01 06:16:53 UTC,416819378,SWAP,PUMP_FUN,50000,3FtXNn4C6f3AWysrPteECquTop8oGff51BqKhitK6Egr,,,6726089.437561,0.251844419,3.744291855436928e-08,,,,,1,6,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,34BKixXzsrc2ZkAZPpPr2ocvuyCKzeXC2zjL6B9fcwQHDxAh7geDko8efgSkw72ZboMCDQgfsToWhUGTDoNB5HNg,1777616219,2026-05-01 06:16:59 UTC,416819394,SWAP,PUMP_FUN,295025,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,,,13139712.571357,0.507260003,3.8605106485035757e-08,,,,,1,5,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,4gu69UaGsCR15ZZHCXauvZY2AJwAjYggNkPNRUYMRagM2wAhKdrBapA2WSh8KfUsM3cmgMC1GAQAb8VrK7gzRRBv,1777616219,2026-05-01 06:16:59 UTC,416819394,SWAP,PUMP_FUN,445000,4ft22kLLj9zDdycysBeJZ9WvhVKznxbNYsaaWJE5TbAY,,,7159445.357468,0.284202373,3.96961438784569e-08,,,,,1,7,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,5JHGvVxmUQwkdybCXFZo7RzfAqC8UxhaZWrap1R2pa3KHv53hpTGRBe4ZVCXB3KgffVXBkpAna92eotMSgboTP7Y,1777616219,2026-05-01 06:16:59 UTC,416819394,SWAP,PUMP_FUN,434145,GHy1P6vJrEoMvWtA7VBH8v5hUkKtxY5SsJNMNWELfdyV,,,18795157.162103,0.7524000000000001,4.003158864332761e-08,,,,,1,5,1777615919,1777621111,open_to_close_plus_buffer,True
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,46VjJ8RKwEYdXP3fyEKuPGHiXopJJ2LUGyhHGwXh5qVT34DD7b3sqY2czaGezeYZFcSvq36qfPFVTFRiCor4Sqog,1777616220,2026-05-01 06:17:00 UTC,416819396,SWAP,PUMP_FUN,105000,HZjatkzh8jbzqNH3PMEbBhvLrQcxmuex91tjxqaKwJak,,,2685.229608,0.00010106600000000001,3.763774974732068e-08,,,,,1,2,1777615919,1777621111,open_to_close_plus_buffer,True
