mint,symbol,signature,timestamp,time_utc,slot,type,source,fee,fee_payer,description,trade_side,token_amount,sol_amount,price_sol,token_input_amount,token_output_amount,native_input_sol,native_output_sol,token_transfer_count,native_transfer_count,window_start,window_end,window_basis,is_closed_position
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,5ZFnz3VcffHd77VbJkVMtDRZbRkdPRDYxx362Htkjch3E8xzRdjpxcJTGrBHqtKLdU7wJ4dS8PYSF5vu7NYjCeNU,1777605263,2026-05-01 03:14:23 UTC,416791640,CREATE,PUMP_FUN,499890,3DTJpW5dyf7DGQScX5Nds677v66g8gqpaVGqPXjbUXEf,,,30877697.777999,0.913523279,2.9585213430351803e-08,,,,,1,12,1777604974,1777605586,open_to_close_plus_buffer,True
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,2a1KiYv1jw2JEowP34zXFZjhZzsBkXLHppwgAw5yeJtMbEGgQMmVX6wArn94EgzVdGm4U5pYweCQKFLNt1CmgXMD,1777605264,2026-05-01 03:14:24 UTC,416791643,SWAP,PUMP_FUN,525000,2oMpHgPYdVY9KHqkWnNjVtg6jmL77EVAdGaqHUu5oK1D,,,1404818.622931,0.052701175,3.75145760027332e-08,,,,,1,6,1777604974,1777605586,open_to_close_plus_buffer,True
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,4U5s46eiK9JJCPjheBTopZuiXx4rsfNRQ9xXXP31J6aNxVyizstsF3oSMZt8FVHVejDwfNwm3HRNUH2pN6zJEUfd,1777605264,2026-05-01 03:14:24 UTC,416791643,SWAP,PUMP_FUN,945814,HNWCugjtQKTHjiazvySaH5vmh2RZQB5bmf5A9KLNBkkX,,,90381172.067483,3.041606546,3.3653099162389575e-08,,,,,1,8,1777604974,1777605586,open_to_close_plus_buffer,True
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,283BZbKEEbFtd9mdEmDX23GHxcSj6gScKES2untqCQou7GhSTJkc2vEQx4LFzCAED9XZcdaPMkBx9RUB1oTTc21G,1777605265,2026-05-01 03:14:25 UTC,416791646,SWAP,PUMP_FUN,5399,6g5wBcJrqXGEKUrYHZw4DHhWLwQ3c2RpYKcmQA8pBhhT,,,13131109.086353,0.5202278149999999,3.961796460442677e-08,,,,,1,6,1777604974,1777605586,open_to_close_plus_buffer,True
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,2AT4ytL1LQemVtydQxATnmUEjoay6J7NhrcQAo3bfRcEsoxbmDFkpy7h3Gv1oX52GMJ3TdRtcQksDYP4AyDnpJoC,1777605265,2026-05-01 03:14:25 UTC,416791644,SWAP,PUMP_FUN,2005000,E5AtDbvXkT28B8w2bWMSdiBS7XNgDSz8Gs4UKTxf2GmZ,,,24301393.973792,0.9140740799999999,3.7614059546781106e-08,,,,,1,7,1777604974,1777605586,open_to_close_plus_buffer,True
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,4ViZoSB6CtzW4Hu1tS8G4Vc9HLgrv7MibFgRnfw3P1cbAdtNwaBhw9qzLgKfRjuLEcg6FSXTZbCbDi24srYjHGrR,1777605265,2026-05-01 03:14:25 UTC,416791646,SWAP,PUMP_FUN,5399,BJYKTWuTBcgCt23JUsoudGFxmvZwuY3XhxecX34zckDC,,,7923607.929946,0.32213795500000003,4.0655463754400505e-08,,,,,1,6,1777604974,1777605586,open_to_close_plus_buffer,True
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,g8Qt2iyxc3XpTmJNuXoYTq4GFCes2UWbUuEZ8QAc8GkYGzG4bxnkZzH67rnDJygv2bZDrBHpPfEyoH45WyqC81P,1777605265,2026-05-01 03:14:25 UTC,416791645,SWAP,PUMP_FUN,15000,DeNwH63Xgj3a4bXXHw79BiL5iBUNBQVaRYeLHQTQxL7z,,,10534763.708694,0.407224183,3.865527450453692e-08,,,,,1,6,1777604974,1777605586,open_to_close_plus_buffer,True
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,2ZEsT4jQ7FtFdPFiHKT7mWvsSzce7QEP4hD82LFTDgpLTREURzrAyp8peh7QNZUj1RcLfHm368ian2kbCUdU2gzB,1777605266,2026-05-01 03:14:26 UTC,416791647,SWAP,PUMP_FUN,5000,AmoTosp6DmCpdnbfi2vfewi6xiZVPnihBmg3ETcKMUnh,,,14941226.470214,0.566548619,3.791848146666138e-08,,,,,1,7,1777604974,1777605586,open_to_close_plus_buffer,True
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,3b8BgNmRCyhwge5VCARinRMiwSGnJet15znLAACym9QNjBcSackB6i62KJqpF3PeBjNrZCJc8VYgNtyUejHr1ZZq,1777605266,2026-05-01 03:14:26 UTC,416791647,SWAP,PUMP_FUN,13000,DDDD2zvzaPMLuZiC2Vos2i6TLFjJJ3bi1pN7kXQc3R5R,,,5989344.416039,0.20467408300000003,3.417303610924406e-08,,,,,1,6,1777604974,1777605586,open_to_close_plus_buffer,True
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,3d9S9iXe6M6Nrx6H3axNhwL1iDUQe1qJm4PumJtKwDCivbMS3xM4po7w3PB8BXhCwTXD7fD9kJfMRnXP68BCzYjN,1777605266,2026-05-01 03:14:26 UTC,416791647,SWAP,PUMP_FUN,355000,SF9TGdsfTPcA3ZVmPdPtYphgzRg6ZqUY4hnjPgjD1MW,,,7175247.363857,0.30218408,4.211479614238181e-08,,,,,1,6,1777604974,1777605586,open_to_close_plus_buffer,True
