mint,symbol,signature,timestamp,time_utc,slot,type,source,fee,fee_payer,description,trade_side,token_amount,sol_amount,price_sol,token_input_amount,token_output_amount,native_input_sol,native_output_sol,token_transfer_count,native_transfer_count,window_start,window_end,window_basis,is_closed_position
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,5GkNwBgUDGn9YmWqJSxD1iDfqughX38GGb5WvkDTv9aK8GnndwXxm6bDa1sHEBaqhfMQVHuQfF5DSz9DHJtSBeaY,1777605233,2026-05-01 03:13:53 UTC,416791565,SWAP,OKX_DEX_ROUTER,80001,4piR1nKwn9V2BLbhHK8Jz4CtTUE5MAyiYcVuQGaft5Qb,,,33701986.015922,1.5080286589999998,4.4745987915595065e-08,,,,,2,13,1777605164,1777605850,open_to_close_plus_buffer,True
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,Xce3hyJJo7BuisTgLptueahUdL5NvWE2uPC9rAttwh93emji6CuHc9L63HFRxm82V8tcK6dyuVx9ZN5AmyXLsfB,1777605233,2026-05-01 03:13:53 UTC,416791566,SWAP,PUMP_FUN,105000,6ep7hTj4L6oacjKG9axXZ2ipxv2QLDwgxwhREBbQ3Y9Z,,,14033541.906381,0.42831395499999997,3.052073082172129e-08,,,,,1,6,1777605164,1777605850,open_to_close_plus_buffer,True
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,2SzS1tFDHd6srBpASP6Hf2k6Y8kroCQXiz1krMem6pFvawjCPjSsUghWg6oGpgecKwdqUZ1ai4QbiVcb2PPndfsd,1777605234,2026-05-01 03:13:54 UTC,416791568,SWAP,OKX_DEX_ROUTER,80001,2jb6PsWrcB9wLrpBQyLJEYWZNFZ7v1BEuB9UyEzjyENg,,,14621939.198736,0.6946296080000001,4.7505983888925456e-08,,,,,2,13,1777605164,1777605850,open_to_close_plus_buffer,True
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,3bspE7y2LHa2fKZ5f8wYQq1Sox9Q4ESxiCos5PPKr6SrjbCWQttrPH1YshfmutQJuwff7TGd1L8yxEdfg9EBtZQY,1777605258,2026-05-01 03:14:18 UTC,416791627,SWAP,PUMP_FUN,105000,4VbhBYRH4QGhEY8zn2qa64xzwrFXwcip9Eq45HdrTbdQ,,,13584432.810687,0.441272471,3.248368755247895e-08,,,,,1,6,1777605164,1777605850,open_to_close_plus_buffer,True
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,4P2BycbYPTaiwhTimj5Dkf8kzwM2TwoombxNbhwhZqjGhXZZUYoHhgFekUyAED9UyvmxDw9jFcEWcUbNZsP1b4PC,1777605258,2026-05-01 03:14:18 UTC,416791626,SWAP,DFLOW,80001,6PNvQE1H9eJ4mzMJ4mmHNLdiuKjysixGP5Q24ge6fkEg,,,11784995.831458,1.4989649,1.2719265423911084e-07,,,,,1,11,1777605164,1777605850,open_to_close_plus_buffer,True
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,2bHsqPzHroDRE4z2os2J4L4LuMKs1WG15XFtHHuxU2FkDZUGazcN6j7LJnnUm1YdzERPjJyaknEaE4iY8tYPqfrR,1777605261,2026-05-01 03:14:21 UTC,416791635,SWAP,PUMP_FUN,41409,C2P8HjqfQLHp87j5WYzQwzjuo2HfRh21UH8gTcni8V8X,,,884437.082393,0.09519192,1.0762995118029371e-07,,,,,1,10,1777605164,1777605850,open_to_close_plus_buffer,True
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,24CzLjxsDfSyTV7VjiUUxf1a8upYbA6qM9PVsGG9qi92wxWTbSheJx4rZq2HGdL6bSTo4NhcPw2N6qRGtrj5ZSwF,1777605354,2026-05-01 03:15:54 UTC,416791875,SWAP,PUMP_FUN,192910,nya666pQkP3PzWxi7JngU3rRMHuc7zbLK8c8wxQ4qpT,,,2377850.662906,0.09419907999999999,3.961522120353772e-08,,,,,1,6,1777605164,1777605850,open_to_close_plus_buffer,True
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,2KXyZ7G43eAQqomFaeQyFpDecPVJuzNcEtzVEGrdP5tJLfeoXZNYQqTxfSRaDFz9XBigqC5Qt2KHWqnYjj7rpEoX,1777605354,2026-05-01 03:15:54 UTC,416791875,SWAP,PUMP_FUN,131858,7kCnjqRHYJH7mheXyWHfqPMsCK7eyYEE7QQXDodJ8Ri9,,,6877772.228375,0.25964698299999994,3.7751611187238504e-08,,,,,1,5,1777605164,1777605850,open_to_close_plus_buffer,True
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,2Ke4CaXmirzTjbq4z2S684v7omfThtoujBMyyNMR6cKTrjkww4bxyweWVj7png44CsaSYE7vtMajLcHH7eoofwtC,1777605354,2026-05-01 03:15:54 UTC,416791875,SWAP,PUMP_FUN,7111,DjZXpQSomAYzESMwdNNEc4Jgg52qhfAYWs43Qh4EcqFY,,,9676657.115821,0.35034890699999993,3.620557211097121e-08,,,,,1,6,1777605164,1777605850,open_to_close_plus_buffer,True
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,2sATNzW2gnT5A2dKiSfpFJGDkuDXKuTVNNCH1xrCsVWt5zCEqpHuMEFL5Z5b3KwTPifvgcxANqPx2ndEHpYcXkzK,1777605354,2026-05-01 03:15:54 UTC,416791875,SWAP,PUMP_FUN,6712,GCQkB9bsMfcUU6oUZPLrLjpuHTxVhrHbpD6FUTgSGDCA,,,3023955.348694,0.11244273399999999,3.718399282865148e-08,,,,,1,6,1777605164,1777605850,open_to_close_plus_buffer,True
