mint,symbol,window_start,window_end,window_start_utc,window_end_utc,is_closed_position,window_basis,raw_tx_count,matched_trade_count,first_market_trade_time,last_market_trade_time
6U8LkK62UEWcVAEMaGmC59AfxC17aBgDrHdUymHwpump,,1777604558,1777605158,2026-05-01 03:02:38 UTC,2026-05-01 03:12:38 UTC,False,first_to_last_known_plus_buffer,576,576,2026-05-01 03:05:54 UTC,2026-05-01 03:12:38 UTC
CiaJrZwmfecZdAUUzECSycSPtXNHSyXCKWUngyHspump,,1777604594,1777605194,2026-05-01 03:03:14 UTC,2026-05-01 03:13:14 UTC,False,first_to_last_known_plus_buffer,528,528,2026-05-01 03:05:44 UTC,2026-05-01 03:13:13 UTC
HSzaueDFx4gJeoj4Raj3imHw88yAnUHDmpxkZCHKpump,,1777604624,1777605224,2026-05-01 03:03:44 UTC,2026-05-01 03:13:44 UTC,False,first_to_last_known_plus_buffer,127,127,2026-05-01 03:03:46 UTC,2026-05-01 03:13:42 UTC
2p5e3sudKx2LtM8iSefaSszMY9nCiHz6CTEASQ9Xpump,,1777604939,1777605574,2026-05-01 03:08:59 UTC,2026-05-01 03:19:34 UTC,True,open_to_close_plus_buffer,1961,1961,2026-05-01 03:13:55 UTC,2026-05-01 03:15:36 UTC
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,1777604974,1777605586,2026-05-01 03:09:34 UTC,2026-05-01 03:19:46 UTC,True,open_to_close_plus_buffer,111,111,2026-05-01 03:14:23 UTC,2026-05-01 03:17:09 UTC
D1fkaTddRLpVr3hQEQqdJiozjSeuDzoQKgfdm55Bpump,,1777605052,1777605701,2026-05-01 03:10:52 UTC,2026-05-01 03:21:41 UTC,True,open_to_close_plus_buffer,173,173,2026-05-01 03:15:51 UTC,2026-05-01 03:18:52 UTC
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,1777605164,1777605850,2026-05-01 03:12:44 UTC,2026-05-01 03:24:10 UTC,True,open_to_close_plus_buffer,94,94,2026-05-01 03:13:53 UTC,2026-05-01 03:23:22 UTC
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,1777605219,1777605827,2026-05-01 03:13:39 UTC,2026-05-01 03:23:47 UTC,True,open_to_close_plus_buffer,35,35,2026-05-01 03:17:47 UTC,2026-05-01 03:23:44 UTC
EJV2ACyuaUv9ic8AjMLwazu58dGZKDZ7YvKXfEuNpump,,1777605247,1777605901,2026-05-01 03:14:07 UTC,2026-05-01 03:25:01 UTC,True,open_to_close_plus_buffer,644,644,2026-05-01 03:18:34 UTC,2026-05-01 03:25:00 UTC
EdHbom9R3qUw6zJ2F8WNGuvHQZSHbxaEhRRYvaLApump,,1777605281,1777605914,2026-05-01 03:14:41 UTC,2026-05-01 03:25:14 UTC,True,open_to_close_plus_buffer,222,222,2026-05-01 03:19:24 UTC,2026-05-01 03:25:03 UTC
EQALo55E16Vx3wuCfDEEahcfN3KXgZpy8aryt6sMpump,,1777605380,1777606017,2026-05-01 03:16:20 UTC,2026-05-01 03:26:57 UTC,True,open_to_close_plus_buffer,247,247,2026-05-01 03:21:09 UTC,2026-05-01 03:24:43 UTC
C5s1X3a2rCgaF1hudfRSwHgvV3y4wiLfdPfc9ZKtpump,,1777605417,1777606082,2026-05-01 03:16:57 UTC,2026-05-01 03:28:02 UTC,True,open_to_close_plus_buffer,35,35,2026-05-01 03:21:46 UTC,2026-05-01 03:23:27 UTC
7DxqaCF6mnPvTuWQJjt3Gn4yjvpXE6ysjxDpdmwxpump,,1777605620,1777606243,2026-05-01 03:20:20 UTC,2026-05-01 03:30:43 UTC,True,open_to_close_plus_buffer,672,672,2026-05-01 03:24:57 UTC,2026-05-01 03:30:42 UTC
CQYTnKGEGNu8Y29qHVRp3HHLW9vUycxEF5UD8FeKpump,,1777606276,1777607034,2026-05-01 03:31:16 UTC,2026-05-01 03:43:54 UTC,True,open_to_close_plus_buffer,659,659,2026-05-01 03:34:40 UTC,2026-05-01 03:43:54 UTC
9T3zykmK1R9FT9HaV57PXcHauj7dSZ6TELZR4Kjmpump,,1777607201,1777607928,2026-05-01 03:46:41 UTC,2026-05-01 03:58:48 UTC,True,open_to_close_plus_buffer,385,385,2026-05-01 03:46:44 UTC,2026-05-01 03:58:44 UTC
QkZ8azx2moWutaCUhrYkh6oQKB3hTFUSG5Uvffspump,,1777607217,1777607861,2026-05-01 03:46:57 UTC,2026-05-01 03:57:41 UTC,True,open_to_close_plus_buffer,314,314,2026-05-01 03:50:58 UTC,2026-05-01 03:57:41 UTC
J9g3uo3KHKwLVyzjxiTAeNffWmt7JoybyoF1q2Hhpump,,1777607556,1777608179,2026-05-01 03:52:36 UTC,2026-05-01 04:02:59 UTC,True,open_to_close_plus_buffer,477,477,2026-05-01 03:55:51 UTC,2026-05-01 04:02:26 UTC
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,,1777607881,1777608493,2026-05-01 03:58:01 UTC,2026-05-01 04:08:13 UTC,True,open_to_close_plus_buffer,722,722,2026-05-01 04:02:38 UTC,2026-05-01 04:08:12 UTC
H7o7PT7SzAFYn9FhmSo4N31zMHKPwbUFjK3B6nPxpump,,1777607922,1777608616,2026-05-01 03:58:42 UTC,2026-05-01 04:10:16 UTC,True,open_to_close_plus_buffer,626,626,2026-05-01 04:02:52 UTC,2026-05-01 04:10:16 UTC
BFYkwYiK8b2a6gzspnfmKAUWwU9B4Y4MDsrQMnZapump,,1777608731,1777609361,2026-05-01 04:12:11 UTC,2026-05-01 04:22:41 UTC,True,open_to_close_plus_buffer,10,10,2026-05-01 04:16:48 UTC,2026-05-01 04:17:41 UTC
9fisMRbPhfzJQqUVWM1AStfRmktNxQMEa62hxDo5pump,,1777609097,1777609737,2026-05-01 04:18:17 UTC,2026-05-01 04:28:57 UTC,True,open_to_close_plus_buffer,4,4,2026-05-01 04:23:17 UTC,2026-05-01 04:26:42 UTC
7LEQAhP247qAn4RQ2gQz7f2Vy9h1RTBrYpZR53Xypump,,1777609332,1777609967,2026-05-01 04:22:12 UTC,2026-05-01 04:32:47 UTC,True,open_to_close_plus_buffer,105,105,2026-05-01 04:25:15 UTC,2026-05-01 04:30:32 UTC
