mint,symbol,buy_tx,sell_tx,total_tx,buy_sol,sell_sol,net_sol,buy_tokens,sell_tokens,net_tokens,first_block_time,last_block_time,first_time_utc,last_time_utc
6U8LkK62UEWcVAEMaGmC59AfxC17aBgDrHdUymHwpump,,1,0,1,0.509542797,0.0,-0.509542797,4302133.327113,0.0,4302133.327113,1777604858,1777604858,2026-05-01 03:07:38 UTC,2026-05-01 03:07:38 UTC
CiaJrZwmfecZdAUUzECSycSPtXNHSyXCKWUngyHspump,,1,0,1,0.509517891,0.0,-0.509517891,9659312.629416,0.0,9659312.629416,1777604894,1777604894,2026-05-01 03:08:14 UTC,2026-05-01 03:08:14 UTC
HSzaueDFx4gJeoj4Raj3imHw88yAnUHDmpxkZCHKpump,,1,0,1,0.509594308,0.0,-0.509594308,7009763.5864,0.0,7009763.5864,1777604924,1777604924,2026-05-01 03:08:44 UTC,2026-05-01 03:08:44 UTC
2p5e3sudKx2LtM8iSefaSszMY9nCiHz6CTEASQ9Xpump,,1,2,3,0.103118413,0.411788588,0.308670175,1427874.204387,1427874.204387,0.0,1777605239,1777605274,2026-05-01 03:13:59 UTC,2026-05-01 03:14:34 UTC
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,,1,1,2,0.537728971,0.525129468,-0.0125995029999999,9876093.494653,9876093.494653,0.0,1777605274,1777605286,2026-05-01 03:14:34 UTC,2026-05-01 03:14:46 UTC
D1fkaTddRLpVr3hQEQqdJiozjSeuDzoQKgfdm55Bpump,,1,1,2,0.570757998,0.688440995,0.11768299699999996,10687428.468431,10687428.468431,0.0,1777605352,1777605401,2026-05-01 03:15:52 UTC,2026-05-01 03:16:41 UTC
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,,1,1,2,0.509594308,0.776754492,0.26716018399999997,12724522.691346,12724522.691346,0.0,1777605464,1777605550,2026-05-01 03:17:44 UTC,2026-05-01 03:19:10 UTC
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,,1,1,2,0.544970693,0.553462534,0.008491841,14753351.985674,14753351.985674,0.0,1777605519,1777605527,2026-05-01 03:18:39 UTC,2026-05-01 03:18:47 UTC
EJV2ACyuaUv9ic8AjMLwazu58dGZKDZ7YvKXfEuNpump,,1,1,2,0.509594308,0.949412993,0.439818685,10126949.536466,10126949.536466,0.0,1777605547,1777605601,2026-05-01 03:19:07 UTC,2026-05-01 03:20:01 UTC
EdHbom9R3qUw6zJ2F8WNGuvHQZSHbxaEhRRYvaLApump,,1,1,2,0.103009039,0.105185656,0.0021766170000000057,1482988.143847,1482988.143847,0.0,1777605581,1777605614,2026-05-01 03:19:41 UTC,2026-05-01 03:20:14 UTC
EQALo55E16Vx3wuCfDEEahcfN3KXgZpy8aryt6sMpump,,1,1,2,0.103060361,0.090260702,-0.012799659000000005,1448574.334056,1448574.334056,0.0,1777605680,1777605717,2026-05-01 03:21:20 UTC,2026-05-01 03:21:57 UTC
C5s1X3a2rCgaF1hudfRSwHgvV3y4wiLfdPfc9ZKtpump,,1,1,2,0.510410663,0.541664143,0.031253479999999945,14144114.300419,14144114.300419,0.0,1777605717,1777605782,2026-05-01 03:21:57 UTC,2026-05-01 03:23:02 UTC
7DxqaCF6mnPvTuWQJjt3Gn4yjvpXE6ysjxDpdmwxpump,,1,1,2,0.534466564,0.455127091,-0.07933947300000005,4974788.482591,4974788.482591,0.0,1777605920,1777605943,2026-05-01 03:25:20 UTC,2026-05-01 03:25:43 UTC
CQYTnKGEGNu8Y29qHVRp3HHLW9vUycxEF5UD8FeKpump,,2,2,4,1.0828919369999999,1.121077533,0.038185596000000155,13567929.786812,13567929.786812,0.0,1777606576,1777606734,2026-05-01 03:36:16 UTC,2026-05-01 03:38:54 UTC
9T3zykmK1R9FT9HaV57PXcHauj7dSZ6TELZR4Kjmpump,,2,2,4,1.016068809,0.880541988,-0.13552682100000002,7368986.529725,7368986.529725,4.656612873077393e-10,1777607501,1777607628,2026-05-01 03:51:41 UTC,2026-05-01 03:53:48 UTC
